"DEPT","DEPTDESC","brands"
6006,"INVEST          ",150815
4505,"POLOMEN         ",142108
7106,"BRIOSO          ",131106
8101,"ECHO            ",56057
4303,"ESPRIT          ",54506
3103,"COP             ",53823
6404,"ELLEN T         ",52717
4402,"1928            ",47223
2301,"BEP             ",47215
7101,"CAROLE          ",46578
8305,"NO FEAR         ",42430
9105,"LISLI           ",39663
5203,"COLEHAAN        ",38796
1301,"BE2             ",38246
5301,"KAREN K         ",35158
4407,"ENVIRON         ",34066
3105,"AUSTIN          ",32469
2503,"CHORUS          ",31262
9801,"CATALIN         ",29587
3102,"CAMBIO          ",29056
5404,"CARTIER         ",28729
3404,"CITIZENS        ",27608
8306,"REEBOK          ",26796
6601,"MATTY M         ",26767
3701,"LACOSTE         ",24280
7205,"LOUISVL         ",24188
801,"LESLIE          ",21620
6505,"ST JOHN         ",21445
7102,"BCH             ",18647
1202,"CABERN          ",17109
1905,"R & Y           ",16926
5305,"LIZ CLA         ",16861
5102,"P&Y             ",16269
4801,"GOTTEX          ",16068
1704,"R LAUREN        ",15595
2102,"CAB             ",14873
7104,"CARTERS         ",11547
9306,"SPERRY          ",10779
2105,"R TAYLOR        ",10137
4704,"DKNY            ",10061
1107,"JACQUES         ",9615
6402,"FREDERI         ",8253
7307,"SIGRID O        ",5532
2107,"MAI             ",5039
8104,"COP KEY         ",4825
6107,"NOB             ",3929
2200,"CELEBRT         ",3731
800,"CLINIQUE        ",2145
9000,"ANNASUI         ",2107
3107,"ONEIDA          ",1818
5207,"H SIERR         ",1474
5506,"MOSCHINO        ",1451
5100,"COLOR           ",1449
1100,"GARY F          ",1121
3100,"4711            ",1019
7200,"COFFRET         ",330
8000,"ETERNIT         ",324
6400,"BLUE            ",286
8002,"C KLEIN         ",275
4400,"BORA            ",269
