"STORE","Yr","mon","dayCount","revenue","avg_daily_revenue"
8402,2004,12,30,3152448.34,105081.61
504,2004,12,30,2724376.37,90812.55
2707,2004,12,30,2711980.93,90399.36
1607,2004,12,30,2595369.01,86512.30
9103,2004,12,30,2437700.70,81256.69
2203,2004,12,30,2275894.30,75863.14
2007,2004,12,30,2265110.27,75503.68
107,2004,12,30,2259965.69,75332.19
9302,2004,12,30,2202355.17,73411.84
9304,2004,12,30,2179686.06,72656.20
7907,2004,12,30,2153004.96,71766.83
1709,2004,12,30,2098564.53,69952.15
1509,2004,12,30,2074973.79,69165.79
2409,2004,12,30,2069748.75,68991.62
3307,2004,12,30,2054700.22,68490.01
2707,2005,8,27,1841963.96,68220.89
8402,2005,4,30,2037820.02,67927.33
2707,2005,7,31,2094410.53,67561.63
7507,2004,12,30,2019017.70,67300.59
8404,2004,12,30,2007223.98,66907.47
3302,2004,12,30,1986292.16,66209.74
8402,2005,2,27,1777071.97,65817.48
8402,2005,5,31,2039125.24,65778.23
209,2004,12,30,1970775.20,65692.51
8402,2005,3,30,1955768.76,65192.29
9806,2005,5,27,1753458.64,64942.91
709,2004,12,30,1920180.67,64006.02
8402,2004,11,29,1846090.92,63658.31
4202,2004,12,30,1902074.12,63402.47
102,2004,12,30,1897051.12,63235.04
504,2005,3,30,1893368.75,63112.29
4307,2004,12,30,1891475.61,63049.19
2102,2004,12,30,1883667.81,62788.93
4102,2004,12,30,1868659.38,62288.65
8402,2005,6,30,1859380.87,61979.36
6503,2004,12,30,1858201.00,61940.03
3807,2004,12,30,1848639.44,61621.31
1607,2005,4,30,1841946.83,61398.23
1407,2004,12,30,1839906.97,61330.23
504,2005,4,30,1834111.85,61137.06
9103,2005,8,27,1645886.83,60958.77
2109,2004,12,30,1827196.70,60906.56
1607,2005,8,27,1642596.38,60836.90
7107,2004,12,30,1821589.33,60719.64
1602,2004,12,30,1820765.00,60692.17
8402,2005,7,31,1875408.01,60497.03
3003,2004,12,30,1809750.65,60325.02
1607,2005,5,31,1855796.16,59864.39
504,2005,5,31,1848960.55,59643.89
504,2005,8,27,1608888.91,59588.48
3502,2004,12,30,1784427.69,59480.92
7603,2004,12,30,1775703.28,59190.11
9806,2004,12,30,1762799.87,58760.00
1607,2005,2,28,1641722.72,58632.95
2707,2005,3,30,1754029.12,58467.64
402,2004,12,30,1749869.54,58328.98
5302,2004,12,30,1747104.98,58236.83
4209,2004,12,30,1739788.56,57992.95
7507,2005,8,27,1561105.75,57818.73
504,2005,7,31,1788332.27,57688.14
504,2004,11,29,1671570.44,57640.36
1607,2005,6,30,1722286.04,57409.53
9806,2005,6,29,1659083.21,57209.77
504,2005,6,30,1713159.77,57105.33
8402,2004,10,31,1765168.64,56940.92
1904,2004,12,30,1704594.96,56819.83
6009,2004,12,30,1703535.62,56784.52
2707,2005,2,28,1588000.21,56714.29
1607,2005,7,31,1753430.59,56562.28
8102,2004,12,30,1688081.15,56269.37
2707,2004,11,29,1631245.50,56249.84
2707,2005,5,31,1739789.34,56122.24
1607,2005,3,30,1681486.66,56049.56
504,2004,10,31,1727913.37,55739.14
504,2005,2,28,1558364.32,55655.87
7007,2004,12,30,1664581.04,55486.03
9103,2005,2,28,1553387.18,55478.11
8402,2005,8,27,1497322.03,55456.37
2907,2004,12,30,1660034.13,55334.47
409,2004,12,30,1657990.31,55266.34
3204,2004,12,30,1655025.16,55167.51
2203,2005,2,28,1544642.86,55165.82
802,2004,12,30,1654779.60,55159.32
9103,2005,4,30,1652525.76,55084.19
9806,2005,3,28,1534030.02,54786.79
4409,2004,12,30,1636594.39,54553.15
2707,2005,6,30,1633615.15,54453.84
407,2004,12,30,1628193.70,54273.12
2707,2005,4,30,1628149.81,54271.66
9103,2005,5,31,1669293.01,53848.16
9103,2005,7,31,1666276.13,53750.84
8602,2004,12,30,1607873.82,53595.79
7507,2005,2,28,1496404.06,53443.00
8703,2004,12,30,1602552.17,53418.41
8109,2004,12,30,1601436.50,53381.22
809,2004,12,30,1592733.89,53091.13
9806,2005,4,28,1471771.69,52563.27
7507,2005,4,30,1575392.86,52513.10
2007,2005,7,31,1626911.28,52481.01
1104,2004,12,30,1569544.96,52318.17
9304,2005,8,27,1411942.50,52294.17
7907,2005,8,27,1403743.65,51990.51
7507,2005,7,31,1611074.60,51970.15
2007,2005,8,27,1399532.77,51834.55
1403,2004,12,30,1546709.10,51556.97
704,2004,12,30,1545914.80,51530.49
1607,2004,10,31,1594828.89,51446.09
1607,2004,11,29,1491067.92,51416.14
7707,2004,12,30,1534328.88,51144.30
7407,2004,12,30,1534188.32,51139.61
7507,2005,5,31,1581761.28,51024.56
3307,2005,8,27,1373326.41,50863.94
2609,2004,12,30,1516446.91,50548.23
9304,2005,7,31,1566129.15,50520.30
9304,2005,4,30,1510285.33,50342.84
107,2005,8,27,1355920.63,50219.28
8204,2004,12,30,1503683.57,50122.79
